state,popular
Alabama,3
Alaska,5
Arizona,1
Arkansas,2
California,1
Colorado,3
Connecticut,1
Delaware,1
Florida,5
Georgia,1
Hawaii,0
Idaho,5
Illinois,0
Indiana,5
Iowa,5
Kansas,4
Kentucky,1
Louisiana,2
Maine,5
Maryland,1
Massachusetts,0
Michigan,0
Minnesota,5
Missouri,3
Mississippi,5
Montana,3
Nebraska,5
Nevada,1
New Hampshire,5
New Jersey,1
New Mexico,2
New York,1
North Carolina,1
North Dakota,5
Ohio,2
Oklahoma,2
Oregon,4
Pennsylvania,1
Rhode Island,1
South Carolina,0
South Dakota,5
Tennessee,3
Texas,1
Utah,5
Vermont,1
Virginia,5
Washington,2
West Virginia,5
Wisconsin,4
Wyoming,0
